Constituency_No,Constituency_Name,Candidate,Party,Votes,Position,Alliance,Constituency_Type,Basmati,Region,Area,District_Name,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Winner in 2019,Recontesting?,Agri,
43,DABWALI,NOTA,None of the Above,856,6,Others,GEN,High,West Haryana,Rural,SIRSA,0.5,,,3,,No,More than 65%,
43,DABWALI,RAJESH KUMAR,Independent,480,7,Others,GEN,High,West Haryana,Rural,SIRSA,0.3,,,3,,No,More than 65%,
43,DABWALI,KHEM CHAND,Independent,282,8,Others,GEN,High,West Haryana,Rural,SIRSA,0.2,,,3,INC+,No,More than 65%,
43,DABWALI,GURVINDER SINGH,Independent,270,9,Others,GEN,High,West Haryana,Rural,SIRSA,0.2,,,3,,No,More than 65%,
43,DABWALI,GULJARI LAL,Independent,199,10,Others,GEN,High,West Haryana,Rural,SIRSA,0.1,,,3,,No,More than 65%,
43,DABWALI,KULVEER SHAANT INSAN,Peoples Party of India (Democratic),108,11,Others,GEN,High,West Haryana,Rural,SIRSA,0.1,,,3,,No,More than 65%,
43,DABWALI,DANA RAM,Bhartiya Shakti Chetna Party,101,12,Others,GEN,High,West Haryana,Rural,SIRSA,0.1,,,3,,No,More than 65%,
43,DABWALI,ANKIT KUMAR,Independent,93,13,Others,GEN,High,West Haryana,Rural,SIRSA,0.1,,,3,,No,More than 65%,
44,RANIA,ARJUN CHAUTALA,Indian National Lok Dal,43914,1,INLD+,GEN,High,West Haryana,Rural,SIRSA,30.4,4191,2.9,4,,No,More than 65%,
44,RANIA,SARV MITTER,Indian National Congress,39723,2,INC+,GEN,High,West Haryana,Rural,SIRSA,27.5,,,4,,No,More than 65%,
44,RANIA,RANJIT SINGH,Independent,36401,3,Others,GEN,High,West Haryana,Rural,SIRSA,25.2,,,4,,No,More than 65%,
44,RANIA,SHEESHPAL KAMBOJ,Bharatiya Janata Party,15707,4,BJP,GEN,High,West Haryana,Rural,SIRSA,10.9,,,4,,No,More than 65%,
44,RANIA,HARPINDER SINGH,Aam Aadmi Party,4697,5,AAP,GEN,High,West Haryana,Rural,SIRSA,3.3,,,4,,No,More than 65%,
44,RANIA,GAGAN DEEP JALANDHRA,Independent,942,6,Others,GEN,High,West Haryana,Rural,SIRSA,0.7,,,4,,No,More than 65%,
44,RANIA,NOTA,None of the Above,657,7,Others,GEN,High,West Haryana,Rural,SIRSA,0.5,,,4,JNJP+,No,More than 65%,
44,RANIA,SANJAY MALIK,Haryana Lokhit Party,477,8,Others,GEN,High,West Haryana,Rural,SIRSA,0.3,,,4,,No,More than 65%,
44,RANIA,VIKRAM KHARIAN,Independent,455,9,Others,GEN,High,West Haryana,Rural,SIRSA,0.3,,,4,,No,More than 65%,
44,RANIA,JOGINDER RAM,Independent,436,10,Others,GEN,High,West Haryana,Rural,SIRSA,0.3,,,4,,No,More than 65%,
44,RANIA,SATPAL VERMA,Independent,271,11,Others,GEN,High,West Haryana,Rural,SIRSA,0.2,,,4,,No,More than 65%,
44,RANIA,GOTTAM SAHARAN,Independent,248,12,Others,GEN,High,West Haryana,Rural,SIRSA,0.2,,,4,,No,More than 65%,
44,RANIA,DALBIR SINGH,Peoples Party of India (Democratic),242,13,Others,GEN,High,West Haryana,Rural,SIRSA,0.2,,,4,,No,More than 65%,
44,RANIA,LUCKY BALMIKI,Jan Sewak Kranti Party,140,14,Others,GEN,High,West Haryana,Rural,SIRSA,0.1,,,4,JNJP+,No,More than 65%,
44,RANIA,ARJUN DASS,Independent,92,15,Others,GEN,High,West Haryana,Rural,SIRSA,0.1,,,4,,No,More than 65%,
45,SIRSA,GOKUL SETIA,Indian National Congress,79020,1,INC+,GEN,High,West Haryana,Semi-rural,SIRSA,50,7234,4.6,2,,No,More than 65%,
45,SIRSA,GOPAL KANDA,Haryana Lokhit Party,71786,2,Others,GEN,High,West Haryana,Semi-rural,SIRSA,45.4,,,2,,Yes,More than 65%,
45,SIRSA,PAWAN SHERPURA,Jannayak Janta Party,1762,3,JNJP+,GEN,High,West Haryana,Semi-rural,SIRSA,1.1,,,2,,No,More than 65%,
45,SIRSA,CA DARVESH SWAMI,Independent,1182,4,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.7,,,2,,No,More than 65%,
45,SIRSA,NOTA,None of the Above,1115,5,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.7,,,2,,No,More than 65%,
45,SIRSA,SHYAM SUNDER,Aam Aadmi Party,853,6,AAP,GEN,High,West Haryana,Semi-rural,SIRSA,0.5,,,2,,No,More than 65%,
45,SIRSA,BHARAT KUMAR GIRDHAR @ SUNNY SINGH,Independent,577,7,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.4,,,2,,No,More than 65%,
45,SIRSA,MADAN LAL,Independent,448,8,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.3,,,2,,No,More than 65%,
45,SIRSA,RAJBEER,Independent,302,9,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.2,,,2,,No,More than 65%,
45,SIRSA,JAIVEER SINGH,Buland Bharat Party,284,10,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.2,,,2,,No,More than 65%,
45,SIRSA,MANI RAM,Liberal Socialist Party,246,11,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.2,,,2,,No,More than 65%,
45,SIRSA,YOGESH KANODIA,Independent,208,12,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.1,,,2,,No,More than 65%,
45,SIRSA,YOGESH ODD,Jan Sewak Kranti Party,165,13,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.1,,,2,BJP,No,More than 65%,
45,SIRSA,OM PARKASH,Independent,83,14,Others,GEN,High,West Haryana,Semi-rural,SIRSA,0.1,,,2,,No,More than 65%,
46,ELLENABAD,BHARAT SINGH BENIWAL,Indian National Congress,77865,1,INC+,GEN,High,West Haryana,Rural,SIRSA,49.1,15000,9.5,2,,No,More than 65%,
46,ELLENABAD,ABHAY SINGH CHAUTALA,Indian National Lok Dal,62865,2,INLD+,GEN,High,West Haryana,Rural,SIRSA,39.7,,,2,,Yes,More than 65%,
46,ELLENABAD,AMIR CHAND TALWARA,Bharatiya Janata Party,13320,3,BJP,GEN,High,West Haryana,Rural,SIRSA,8.4,,,2,,No,More than 65%,
46,ELLENABAD,ANJANI LADHA,Jannayak Janta Party,1593,4,JNJP+,GEN,High,West Haryana,Rural,SIRSA,1,,,2,,No,More than 65%,
46,ELLENABAD,MANISH ARORA,Aam Aadmi Party,885,5,AAP,GEN,High,West Haryana,Rural,SIRSA,0.6,,,2,,No,More than 65%,
46,ELLENABAD,NOTA,None of the Above,545,6,Others,GEN,High,West Haryana,Rural,SIRSA,0.3,,,2,,No,More than 65%,
46,ELLENABAD,VIKRAM INDORA,Independent,443,7,Others,GEN,High,West Haryana,Rural,SIRSA,0.3,,,2,,No,More than 65%,
46,ELLENABAD,NANAK SINGH,Jan Sewak Kranti Party,307,8,Others,GEN,High,West Haryana,Rural,SIRSA,0.2,,,2,,No,More than 65%,
46,ELLENABAD,SURJEET SINGH,Independent,257,9,Others,GEN,High,West Haryana,Rural,SIRSA,0.2,,,2,,No,More than 65%,
46,ELLENABAD,BALDEV KUMAR,Independent,192,10,Others,GEN,High,West Haryana,Rural,SIRSA,0.1,,,2,,No,More than 65%,
46,ELLENABAD,MAYANK GIDRA,Haryana Lokhit Party,182,11,Others,GEN,High,West Haryana,Rural,SIRSA,0.1,,,2,,No,More than 65%,
47,ADAMPUR,CHANDER PARKASH S/O ARJUN LAL,Indian National Congress,65371,1,INC+,GEN,Medium,West Haryana,Rural,HISAR,48.2,1268,0.9,2,JNJP+,No,More than 65%,
47,ADAMPUR,BHAVYA BISHNOI,Bharatiya Janata Party,64103,2,BJP,GEN,Medium,West Haryana,Rural,HISAR,47.2,,,2,,Yes,More than 65%,
47,ADAMPUR,RANDEEP CHOUDARYVAS,Indian National Lok Dal,1869,3,INLD+,GEN,Medium,West Haryana,Rural,HISAR,1.4,,,2,,No,More than 65%,
47,ADAMPUR,BHUPENDER BENIWAL,Aam Aadmi Party,1814,4,AAP,GEN,Medium,West Haryana,Rural,HISAR,1.3,,,2,,No,More than 65%,
47,ADAMPUR,KRISHAN GANGWA PARJAPATI,Jannayak Janta Party,1297,5,JNJP+,GEN,Medium,West Haryana,Rural,HISAR,1,,,2,,No,More than 65%,
47,ADAMPUR,NOTA,None of the Above,390,6,Others,GEN,Medium,West Haryana,Rural,HISAR,0.3,,,2,,No,More than 65%,
47,ADAMPUR,RAJESH KUMAR,Independent,323,7,Others,GEN,Medium,West Haryana,Rural,HISAR,0.2,,,2,,No,More than 65%,
47,ADAMPUR,RAMPHAL,Independent,197,8,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,,No,More than 65%,
47,ADAMPUR,RENU CHAHAL BALSAMAND,Independent,156,9,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,,No,More than 65%,
47,ADAMPUR,PARMOD BASWANA,Independent,57,10,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,BJP,No,More than 65%,
47,ADAMPUR,CHANDER PARKASH S/O RAJA RAM,Independent,51,11,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
47,ADAMPUR,BALJEET SINGH,Bhartiya Kisan Party,40,12,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
47,ADAMPUR,AMIT,Independent,29,13,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
48,UKLANA,NARESH SELWAL,Indian National Congress,78448,1,INC+,SC,Medium,West Haryana,Rural,HISAR,54.2,28092,19.4,2,,No,More than 65%,
48,UKLANA,ANOOP DHANAK,Bharatiya Janata Party,50356,2,BJP,SC,Medium,West Haryana,Rural,HISAR,34.8,,,2,,Yes,More than 65%,
48,UKLANA,BALRAJ SINGH,Indian National Lok Dal,11447,3,INLD+,SC,Medium,West Haryana,Rural,HISAR,7.9,,,2,,No,More than 65%,
48,UKLANA,NARENDER KHANNA,Aam Aadmi Party,2050,4,AAP,SC,Medium,West Haryana,Rural,HISAR,1.4,,,2,,No,More than 65%,
48,UKLANA,ROHTASH,Jannayak Janta Party,1218,5,JNJP+,SC,Medium,West Haryana,Rural,HISAR,0.8,,,2,,No,More than 65%,
48,UKLANA,NOTA,None of the Above,627,6,Others,SC,Medium,West Haryana,Rural,HISAR,0.4,,,2,,No,More than 65%,
48,UKLANA,ANIL BITHMARA,Haryana Jan Sevak Party,291,7,Others,SC,Medium,West Haryana,Rural,HISAR,0.2,,,2,,No,More than 65%,
48,UKLANA,BIRBAL SINGH,Independent,278,8,Others,SC,Medium,West Haryana,Rural,HISAR,0.2,,,2,,No,More than 65%,
49,NARNAUND,JASSI PETWAR,Indian National Congress,84801,1,INC+,GEN,Medium,West Haryana,Rural,HISAR,51.4,12578,7.6,2,,No,More than 65%,
49,NARNAUND,CAPT. ABHIMANYU,Bharatiya Janata Party,72223,2,BJP,GEN,Medium,West Haryana,Rural,HISAR,43.8,,,2,,No,More than 65%,
49,NARNAUND,UMED SINGH LOHAN,Indian National Lok Dal,4628,3,INLD+,GEN,Medium,West Haryana,Rural,HISAR,2.8,,,2,,No,More than 65%,
49,NARNAUND,RANBIR SINGH LOHAN,Aam Aadmi Party,1057,4,AAP,GEN,Medium,West Haryana,Rural,HISAR,0.6,,,2,,No,More than 65%,
49,NARNAUND,YOGESH GAUTAM,Jannayak Janta Party,735,5,JNJP+,GEN,Medium,West Haryana,Rural,HISAR,0.4,,,2,,No,More than 65%,
49,NARNAUND,NOTA,None of the Above,550,6,Others,GEN,Medium,West Haryana,Rural,HISAR,0.3,,,2,,No,More than 65%,
49,NARNAUND,DHARAMVIR SAROWA,Independent,279,7,Others,GEN,Medium,West Haryana,Rural,HISAR,0.2,,,2,,No,More than 65%,
49,NARNAUND,RAVI KUMAR,Independent,241,8,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,,No,More than 65%,
49,NARNAUND,JASSI JASBIR S/O BANI SINGH,Independent,179,9,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,,No,More than 65%,
49,NARNAUND,KRISHAN MAJRA,Mission Ekta Party,176,10,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,BJP,No,More than 65%,
49,NARNAUND,SANDEEP KUMAR,Independent,113,11,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,,No,More than 65%,
49,NARNAUND,AJAY CHAUDHARY,Independent,31,12,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
49,NARNAUND,JAIBIR ALIAS JAI VIR,Independent,26,13,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
49,NARNAUND,BHAI SATISH MASUDPUR,Aam Aadmi Parivartan Party,22,14,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
49,NARNAUND,JAIBIR S/O CHANDER BHAN,Independent,19,15,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
50,HANSI,VINOD BHAYANA,Bharatiya Janata Party,78686,1,BJP,GEN,Medium,West Haryana,Semi-rural,HISAR,55.3,21460,15.1,2,,Yes,More than 65%,
50,HANSI,RAHUL MAKKAR,Indian National Congress,57226,2,INC+,GEN,Medium,West Haryana,Semi-rural,HISAR,40.2,,,2,,No,More than 65%,
50,HANSI,RAJENDER SINGH,Aam Aadmi Party,2333,3,AAP,GEN,Medium,West Haryana,Semi-rural,HISAR,1.6,,,2,,No,More than 65%,
50,HANSI,RAVINDER KUMAR,Bahujan Samaj Party,2182,4,INLD+,GEN,Medium,West Haryana,Semi-rural,HISAR,1.5,,,2,,No,More than 65%,
50,HANSI,SHAMSHER SINGH,Jannayak Janta Party,516,5,JNJP+,GEN,Medium,West Haryana,Semi-rural,HISAR,0.4,,,2,,No,More than 65%,
50,HANSI,NOTA,None of the Above,374,6,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.3,,,2,,No,More than 65%,
50,HANSI,SUMAN KUMAR,Independent,182,7,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.1,,,2,,No,More than 65%,
50,HANSI,HARISH VERMA,Independent,180,8,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.1,,,2,BJP,No,More than 65%,
50,HANSI,ROHIT,Independent,176,9,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.1,,,2,,No,More than 65%,
50,HANSI,AMARJEET,Independent,163,10,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.1,,,2,,No,More than 65%,
50,HANSI,KASHMIRI LAL GROVER,Independent,103,11,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.1,,,2,,No,More than 65%,
50,HANSI,VEERBHAN,Aam Aadmi Parivartan Party,72,12,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.1,,,2,,No,More than 65%,
50,HANSI,NAVIN,Independent,69,13,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0,,,2,,No,More than 65%,
50,HANSI,JAI PARKASH,Independent,23,14,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0,,,2,,No,More than 65%,
51,BARWALA,RANBIR GANGWA,Bharatiya Janata Party,66843,1,BJP,GEN,Medium,West Haryana,Semi-rural,HISAR,47.7,26942,19.2,2,,Yes,More than 65%,
51,BARWALA,RAMNIWAS GHORELA,Indian National Congress,39901,2,INC+,GEN,Medium,West Haryana,Semi-rural,HISAR,28.5,,,2,,No,More than 65%,
51,BARWALA,SANJANA SATROAD,Indian National Lok Dal,29055,3,INLD+,GEN,Medium,West Haryana,Semi-rural,HISAR,20.7,,,2,,No,More than 65%,
51,BARWALA,PROF. CHHATTAR PAL SINGH,Aam Aadmi Party,2543,4,AAP,GEN,Medium,West Haryana,Semi-rural,HISAR,1.8,,,2,,No,More than 65%,
51,BARWALA,ANANT RAM,Jannayak Janta Party,481,5,JNJP+,GEN,Medium,West Haryana,Semi-rural,HISAR,0.3,,,2,,No,More than 65%,
51,BARWALA,NOTA,None of the Above,430,6,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.3,,,2,,No,More than 65%,
51,BARWALA,RAJIV KHATAK,Jan Sewak Kranti Party,355,7,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.3,,,2,JNJP+,No,More than 65%,
51,BARWALA,RENU DALJEET SINGH,Independent,217,8,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.2,,,2,,No,More than 65%,
51,BARWALA,BABA DARSHAN GIRI,Independent,180,9,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.1,,,2,,No,More than 65%,
51,BARWALA,SUMIT BLODA,Independent,82,10,Others,GEN,Medium,West Haryana,Semi-rural,HISAR,0.1,,,2,,No,More than 65%,
52,HISAR,SAVITRI JINDAL,Independent,49231,1,Others,GEN,Medium,West Haryana,Urban,HISAR,43.8,18941,16.8,3,,No,More than 65%,
52,HISAR,RAM NIWAS RARA,Indian National Congress,30290,2,INC+,GEN,Medium,West Haryana,Urban,HISAR,26.9,,,3,,No,More than 65%,
52,HISAR,DR. KAMAL GUPTA,Bharatiya Janata Party,17385,3,BJP,GEN,Medium,West Haryana,Urban,HISAR,15.5,,,3,,Yes,More than 65%,
52,HISAR,GAUTAM SARDANA,Independent,6831,4,Others,GEN,Medium,West Haryana,Urban,HISAR,6.1,,,3,,No,More than 65%,
52,HISAR,AMIT GROVER,Independent,2014,5,Others,GEN,Medium,West Haryana,Urban,HISAR,1.8,,,3,,No,More than 65%,
52,HISAR,SANJAY SATRODIA,Aam Aadmi Party,2001,6,AAP,GEN,Medium,West Haryana,Urban,HISAR,1.8,,,3,,No,More than 65%,
52,HISAR,TARUN JAIN,Independent,1135,7,Others,GEN,Medium,West Haryana,Urban,HISAR,1,,,3,,No,More than 65%,
52,HISAR,SUNIL BANSAL,Independent,558,8,Others,GEN,Medium,West Haryana,Urban,HISAR,0.5,,,3,,No,More than 65%,
52,HISAR,SHYAM LAL,Indian National Lok Dal,536,9,INLD+,GEN,Medium,West Haryana,Urban,HISAR,0.5,,,3,,No,More than 65%,
52,HISAR,RAVINDER RAVI AHUJA,Jannayak Janta Party,439,10,JNJP+,GEN,Medium,West Haryana,Urban,HISAR,0.4,,,3,,No,More than 65%,
52,HISAR,NOTA,None of the Above,421,11,Others,GEN,Medium,West Haryana,Urban,HISAR,0.4,,,3,,No,More than 65%,
52,HISAR,RAJENDER,Independent,343,12,Others,GEN,Medium,West Haryana,Urban,HISAR,0.3,,,3,Others,No,More than 65%,
52,HISAR,ANIL KUMAR S/O JAGDISH CHANDER SHARMA,Independent,317,13,Others,GEN,Medium,West Haryana,Urban,HISAR,0.3,,,3,,No,More than 65%,
52,HISAR,PRASHANT YADAV,Independent,218,14,Others,GEN,Medium,West Haryana,Urban,HISAR,0.2,,,3,,No,More than 65%,
52,HISAR,NAND KISHOR CHAWLA,Sarva Jan Smaj Party (Nand Kishore Chawla),168,15,Others,GEN,Medium,West Haryana,Urban,HISAR,0.1,,,3,,No,More than 65%,
52,HISAR,PARVEEN KUMAR,Independent,138,16,Others,GEN,Medium,West Haryana,Urban,HISAR,0.1,,,3,,No,More than 65%,
52,HISAR,ANIL MAHLA,Independent,132,17,Others,GEN,Medium,West Haryana,Urban,HISAR,0.1,,,3,,No,More than 65%,
52,HISAR,ANIL KUMAR S/O CHARANJIT LAL,Independent,124,18,Others,GEN,Medium,West Haryana,Urban,HISAR,0.1,,,3,,No,More than 65%,
52,HISAR,MAHENDER,Independent,64,19,Others,GEN,Medium,West Haryana,Urban,HISAR,0.1,,,3,,No,More than 65%,
52,HISAR,DINESH KUMAR SAINI,Independent,62,20,Others,GEN,Medium,West Haryana,Urban,HISAR,0.1,,,3,,No,More than 65%,
52,HISAR,SUNIL,Haryana Lokhit Party,47,21,Others,GEN,Medium,West Haryana,Urban,HISAR,0,,,3,,No,More than 65%,
52,HISAR,AJAY SAINI,Independent,40,22,Others,GEN,Medium,West Haryana,Urban,HISAR,0,,,3,,No,More than 65%,
53,NALWA,RANDHIR PANIHAR,Bharatiya Janata Party,66330,1,BJP,GEN,Medium,West Haryana,Rural,HISAR,51.2,12144,9.4,2,,No,More than 65%,
53,NALWA,ANIL MAAN,Indian National Congress,54186,2,INC+,GEN,Medium,West Haryana,Rural,HISAR,41.8,,,2,,No,More than 65%,
53,NALWA,VIRENDER CHAUDHARY,Jannayak Janta Party,3891,3,JNJP+,GEN,Medium,West Haryana,Rural,HISAR,3,,,2,,No,More than 65%,
53,NALWA,SARWAN KUMAR VERMA,Bahujan Samaj Party,2611,4,INLD+,GEN,Medium,West Haryana,Rural,HISAR,2,,,2,,No,More than 65%,
53,NALWA,UMESH SHARMA,Aam Aadmi Party,1193,5,AAP,GEN,Medium,West Haryana,Rural,HISAR,0.9,,,2,,No,More than 65%,
53,NALWA,NOTA,None of the Above,507,6,Others,GEN,Medium,West Haryana,Rural,HISAR,0.4,,,2,,No,More than 65%,
53,NALWA,MAHABIR PRASAD,Independent,201,7,Others,GEN,Medium,West Haryana,Rural,HISAR,0.2,,,2,,No,More than 65%,
53,NALWA,RAVINDER MANGALI,Independent,173,8,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,BJP,No,More than 65%,
53,NALWA,PARDUMAN JOSHILA,Independent,143,9,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,,No,More than 65%,
53,NALWA,JAI PRAKASH,Independent,106,10,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,,No,More than 65%,
53,NALWA,RAJENDER SINGH,Independent,95,11,Others,GEN,Medium,West Haryana,Rural,HISAR,0.1,,,2,,No,More than 65%,
53,NALWA,ANIL KUMAR,Independent,53,12,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
53,NALWA,RAJ KUMAR,Rashtravadi Bharat Party,34,13,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
53,NALWA,ATAM PARKASH,Independent,23,14,Others,GEN,Medium,West Haryana,Rural,HISAR,0,,,2,,No,More than 65%,
54,LOHARU,RAJBIR FARTIA,Indian National Congress,81336,1,INC+,GEN,Low,West Haryana,Rural,BHIWANI,49,792,0.5,2,,No,More than 65%,less than 1000
54,LOHARU,JAI PARKASH DALAL,Bharatiya Janata Party,80544,2,BJP,GEN,Low,West Haryana,Rural,BHIWANI,48.5,,,2,,Yes,More than 65%,
54,LOHARU,BHOOP SINGH SHEORAN,Indian National Lok Dal,1191,3,INLD+,GEN,Low,West Haryana,Rural,BHIWANI,0.7,,,2,,No,More than 65%,
54,LOHARU,ALKA ARYA,Jannayak Janta Party,831,4,JNJP+,GEN,Low,West Haryana,Rural,BHIWANI,0.5,,,2,,No,More than 65%,
54,LOHARU,GEETA BALA,Aam Aadmi Party,806,5,AAP,GEN,Low,West Haryana,Rural,BHIWANI,0.5,,,2,,No,More than 65%,
54,LOHARU,SANDEEP SANJAY BALHARA,Independent,322,6,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.2,,,2,,No,More than 65%,
54,LOHARU,AMAR SINGH,Independent,299,7,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.2,,,2,,No,More than 65%,
54,LOHARU,NOTA,None of the Above,259,8,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.2,,,2,,No,More than 65%,
54,LOHARU,SANJAY,Independent,188,9,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.1,,,2,,No,More than 65%,
54,LOHARU,RAJBIR S/O MOOLA RAM,Independent,115,10,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.1,,,2,,No,More than 65%,
54,LOHARU,SAJJAN BHARDWAJ,Independent,81,11,Others,GEN,Low,West Haryana,Rural,BHIWANI,0,,,2,,No,More than 65%,
54,LOHARU,RAJBIR S/O BEGRAJ,Independent,69,12,Others,GEN,Low,West Haryana,Rural,BHIWANI,0,,,2,INC+,No,More than 65%,
54,LOHARU,KRISHAN KUMAR,Independent,39,13,Others,GEN,Low,West Haryana,Rural,BHIWANI,0,,,2,,No,More than 65%,
54,LOHARU,RAJBIR S/O BHARAT SINGH,Independent,35,14,Others,GEN,Low,West Haryana,Rural,BHIWANI,0,,,2,,No,More than 65%,
55,BADHRA,UMED SINGH,Bharatiya Janata Party,59315,1,BJP,GEN,Low,West Haryana,Rural,BHIWANI,41.2,7585,5.3,3,,No,More than 65%,
55,BADHRA,SOMVIR SINGH,Indian National Congress,51730,2,INC+,GEN,Low,West Haryana,Rural,BHIWANI,35.9,,,3,,No,More than 65%,
55,BADHRA,SOMVEER GHASOLA,Independent,26730,3,Others,GEN,Low,West Haryana,Rural,BHIWANI,18.6,,,3,,No,More than 65%,
55,BADHRA,VIJAY KUMAR,Indian National Lok Dal,1967,4,INLD+,GEN,Low,West Haryana,Rural,BHIWANI,1.4,,,3,,No,More than 65%,
55,BADHRA,YASHVIR,Jannayak Janta Party,1321,5,JNJP+,GEN,Low,West Haryana,Rural,BHIWANI,0.9,,,3,,No,More than 65%,
55,BADHRA,RAKESH CHANDWAS,Aam Aadmi Party,1221,6,AAP,GEN,Low,West Haryana,Rural,BHIWANI,0.8,,,3,,No,More than 65%,
55,BADHRA,NOTA,None of the Above,552,7,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.4,,,3,,No,More than 65%,
55,BADHRA,AJIT,Independent,512,8,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.4,,,3,,No,More than 65%,
55,BADHRA,SANDEEP,Independent,197,9,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.1,,,3,,No,More than 65%,
55,BADHRA,MAHENDER JEVALI,Bhartiya Kisan Party,150,10,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.1,,,3,,No,More than 65%,
55,BADHRA,VIKASH,Independent,96,11,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.1,,,3,,No,More than 65%,
55,BADHRA,JITENDER SINGH SHEORAIN,Independent,88,12,Others,GEN,Low,West Haryana,Rural,BHIWANI,0.1,,,3,,No,More than 65%,
55,BADHRA,VIDY NAND,Independent,71,13,Others,GEN,Low,West Haryana,Rural,BHIWANI,0,,,3,BJP,No,More than 65%,
55,BADHRA,DINESH KUMAR,Independent,69,14,Others,GEN,Low,West Haryana,Rural,BHIWANI,0,,,3,,No,More than 65%,
55,BADHRA,CHITAR SINGH,Independent,41,15,Others,GEN,Low,West Haryana,Rural,BHIWANI,0,,,3,,No,More than 65%,
55,BADHRA,ASHOK,Independent,17,16,Others,GEN,Low,West Haryana,Rural,BHIWANI,0,,,3,,No,More than 65%,
56,DADRI,SUNIL SATPAL SANGWAN,Bharatiya Janata Party,65568,1,BJP,GEN,Low,West Haryana,Rural,BHIWANI,46.1,1957,1.4,2,,No,More than 65%,
56,DADRI,MANISHA SANGWAN,Indian National Congress,63611,2,INC+,GEN,Low,West Haryana,Rural,BHIWANI,44.7,,,2,,No,More than 65%,
56,DADRI,SANJAY CHHAPARIA,Independent,3713,3,Others,GEN,Low,West Haryana,Rural,BHIWANI,2.6,,,2,,No,More than 65%,
56,DADRI,AJIT SINGH,Independent,3369,4,Others,GEN,Low,West Haryana,Rural,BHIWANI,2.4,,,2,,No,More than 65%,
56,DADRI,RAJDEEP SINGH,Jannayak Janta Party,1917,5,JNJP+,GEN,Low,West Haryana,Rural,BHIWANI,1.3,,,2,,No,More than 65%,
56,DADRI,DHAN RAJ SINGH,Aam Aadmi Party,1339,6,AAP,GEN,Low,West Haryana,Rural,BHIWANI,0.9,,,2,,No,More than 65%,
56,DADRI,ANAND SHEORAN,Bahujan Samaj Party,1036,7,INLD+,GEN,Low,West Haryana,Rural,BHIWANI,0.7,,,2,Others,No,More than 65%,
